,precision,recall,f1-score,support
1,0.38178280068857123,0.38726085636197993,0.3845023178683149,13172.0
19,0.4075002088031404,0.36900620178490395,0.38729906727525304,13222.0
22,0.35466028851184694,0.35124731660374564,0.35294555191907173,13509.0
25,0.39355105415460934,0.3613451757382525,0.3767611207851828,13173.0
28,0.40311508508797234,0.470350676448812,0.4341451292246521,14857.0
46,0.34393767245577017,0.44516806722689073,0.3880597014925373,14280.0
64,0.4356664540816326,0.405535767289997,0.4200614911606457,13476.0
67,0.4633264887063655,0.36030914665304037,0.4053753009234307,15656.0
accuracy,0.39459338093313573,0.39459338093313573,0.39459338093313573,0.39459338093313573
macro avg,0.39794250656123853,0.3937779010134528,0.393643710081136,111345.0
weighted avg,0.3989182820024387,0.39459338093313573,0.39440872595801313,111345.0
