,precision,recall,f1-score,support
1,0.4229097095331107,0.5095657455208017,0.46221120407671384,13172.0
19,0.4613819956994247,0.6004386628346695,0.5218048572085839,13222.0
22,0.4636908288893278,0.5213561329484048,0.49083559829953305,13509.0
25,0.4605812396629125,0.4439383587641388,0.4521066872825667,13173.0
28,0.5378174713926877,0.5188126808911624,0.5281441638973586,14857.0
46,0.5129575639779721,0.44355742296918765,0.4757398227429773,14280.0
64,0.5657534246575342,0.5516473731077471,0.5586113615870153,13476.0
67,0.623331123946596,0.4204777721001533,0.5021932333981768,15656.0
accuracy,0.49935785172212493,0.49935785172212493,0.49935785172212493,0.49935785172212493
macro avg,0.5060529197199457,0.5012242686420332,0.4989558660616157,111345.0
weighted avg,0.5092330049120558,0.49935785172212493,0.49938691251275996,111345.0
