,precision,recall,f1-score,support
1,0.5015734688937303,0.47191011235955055,0.4862898494034813,13172.0
19,0.5341037204058624,0.5732869459990925,0.5530021157073028,13222.0
22,0.5175978130873057,0.4485158042786291,0.4805869522109855,13509.0
25,0.492542101042502,0.46625673726561906,0.4790391139882229,13173.0
28,0.5301624852144681,0.5731978192098001,0.5508408796895213,14857.0
46,0.5007356875334403,0.5242997198879552,0.5122468527640941,14280.0
64,0.5406474820143885,0.5576580587711487,0.5490210403272939,13476.0
67,0.5703618609994257,0.570835462442514,0.5705985634477254,15656.0
accuracy,0.5249629529839688,0.5249629529839688,0.5249629529839688,0.5249629529839688
macro avg,0.5234655773988904,0.5232450825267886,0.5227031709423284,111345.0
weighted avg,0.5244205981565909,0.5249629529839688,0.5240510297904384,111345.0
