,precision,recall,f1-score,support
2,0.4695251058681186,0.45873660879202066,0.46406816398221157,13535.0
20,0.41318821281769236,0.5122739018087855,0.45742669443999356,13932.0
23,0.4376425855513308,0.4080981421075025,0.4223543226185234,14102.0
26,0.36034903497744586,0.3522226237802674,0.3562394911908765,13835.0
29,0.5219307912717654,0.4976881042454813,0.5095212479827864,14274.0
47,0.5611800201139792,0.6097027972027972,0.5844359878504347,13728.0
65,0.569952613998291,0.534649857902791,0.5517371033238081,13723.0
68,0.5434973637961336,0.49165341812400637,0.5162771285475793,15096.0
accuracy,0.4830207173089775,0.4830207173089775,0.4830207173089775,0.4830207173089775
macro avg,0.48465821604934456,0.48312818174545646,0.4827575174920267,112225.0
weighted avg,0.4851738960638162,0.4830207173089775,0.4829574217956191,112225.0
