,precision,recall,f1-score,support
37,0.7590920815063193,0.8527962909301652,0.8032205240174674,13804.0
41,0.758725542041248,0.7948203033030954,0.7763536135817918,14441.0
45,0.6196405431291904,0.797303175293606,0.697333798307073,13794.0
35,0.7627232895180317,0.8193338160753078,0.7900157095479141,13810.0
39,0.6457789898031776,0.7730466255056418,0.7037049000290707,14091.0
43,0.7805680848470072,0.8983514556296036,0.835328267179805,14255.0
31,0.44523096469734097,0.345152666385254,0.388855863353545,14214.0
32,0.45207311636201514,0.28487147071217866,0.34950452391210685,14238.0
33,0.512280279316157,0.30708718244803695,0.38399061456547245,13856.0
36,0.656648675171737,0.746010730959515,0.6984831185777197,14351.0
40,0.7692197257914005,0.7569400296673024,0.7630304756479637,14157.0
44,0.6505661459079833,0.6816850642036495,0.6657621649371127,13317.0
34,0.7657613628429798,0.7480051831139604,0.7567791347547093,14663.0
38,0.6922151450813872,0.6708044715725945,0.6813416460590018,14581.0
42,0.7125364846586459,0.7196577509347138,0.7160794133428724,13908.0
accuracy,0.6796718365802913,0.6796718365802913,0.6796718365802913,0.6796718365802913
macro avg,0.6655373620449747,0.6797244144489751,0.6673189178542417,211480.0
weighted avg,0.6658513888632045,0.6796718365802913,0.667478157354421,211480.0
