,precision,recall,f1-score,support
37,0.8090452261306532,0.8630831643002028,0.8351910269891343,13804.0
41,0.7631595497138545,0.8403157676061215,0.7998813525805814,14441.0
45,0.7701227368278294,0.823328983616065,0.7958375670088645,13794.0
35,0.8240175570948495,0.8700217233888486,0.8463949843260188,13810.0
39,0.7188784143098864,0.8442268114399262,0.7765266490420706,14091.0
43,0.8336097996682404,0.9165906699403717,0.8731330816265161,14255.0
31,0.5251201098146877,0.5382721260728859,0.5316147859922179,14214.0
32,0.531245142235349,0.4800533782834668,0.50435360094451,14238.0
33,0.5971620750023036,0.46773960739030024,0.5245861831721236,13856.0
36,0.7678823862029969,0.7570204166957006,0.7624127162356574,14351.0
40,0.8238852975302503,0.702196793105884,0.7581893757388553,14157.0
44,0.7325070599309695,0.7012089810017271,0.7165164013044312,13317.0
34,0.8479575283881433,0.7842869808361181,0.8148804251550044,14663.0
38,0.7430422618171109,0.6921335985186201,0.7166850122501154,14581.0
42,0.7677086128253287,0.8229076790336497,0.7943503609106052,13908.0
accuracy,0.7401645545678078,0.7401645545678078,0.7401645545678078,0.7401645545678078
macro avg,0.7370229171661634,0.7402257787486591,0.7367035682184472,211480.0
weighted avg,0.7371394090028627,0.7401645545678078,0.7367337692503513,211480.0
